Aether M5 API Ledger: Honest Failures
=====================================
Category | API Name                                 | Call Count
CSS      | property:-webkit-text-fill-color         | 1
CSS      | property:-webkit-user-select             | 4
CSS      | property:align-items                     | 21
CSS      | property:align-self                      | 1
CSS      | property:animation                       | 1
CSS      | property:background-position             | 11
CSS      | property:background-repeat               | 10
CSS      | property:background-size                 | 11
CSS      | property:border-bottom                   | 10
CSS      | property:border-bottom-left-radius       | 1
CSS      | property:border-bottom-right-radius      | 1
CSS      | property:border-collapse                 | 5
CSS      | property:border-left                     | 4
CSS      | property:border-left-style               | 1
CSS      | property:border-left-width               | 1
CSS      | property:border-radius                   | 11
CSS      | property:border-spacing                  | 23
CSS      | property:border-top                      | 5
CSS      | property:border-top-left-radius          | 1
CSS      | property:border-top-right-radius         | 1
CSS      | property:box-shadow                      | 19
CSS      | property:box-sizing                      | 16
CSS      | property:break-inside                    | 2
CSS      | property:caption-side                    | 2
CSS      | property:clear                           | 32
CSS      | property:clip                            | 4
CSS      | property:clip-path                       | 1
CSS      | property:color-scheme                    | 3
CSS      | property:column-gap                      | 2
CSS      | property:column-width                    | 6
CSS      | property:contain                         | 1
CSS      | property:counter-increment               | 4
CSS      | property:counter-reset                   | 7
CSS      | property:cursor                          | 16
CSS      | property:direction                       | 5
CSS      | property:fill                            | 1
CSS      | property:filter                          | 11
CSS      | property:flex                            | 5
CSS      | property:flex-flow                       | 5
CSS      | property:flex-grow                       | 5
CSS      | property:flex-shrink                     | 6
CSS      | property:flex-wrap                       | 3
CSS      | property:font                            | 1
CSS      | property:font-family                     | 9
CSS      | property:font-kerning                    | 1
CSS      | property:font-style                      | 19
CSS      | property:font-variant                    | 1
CSS      | property:font-variant-numeric            | 1
CSS      | property:gap                             | 5
CSS      | property:grid-template-areas             | 1
CSS      | property:grid-template-columns           | 1
CSS      | property:justify-content                 | 11
CSS      | property:list-style                      | 10
CSS      | property:list-style-image                | 1
CSS      | property:list-style-type                 | 12
CSS      | property:margin-inline-end               | 4
CSS      | property:margin-inline-start             | 4
CSS      | property:mask-image                      | 100
